"","longname","shortnam","mort","logmort0","risk","loggdp","latitude","neoeuro","asia","africa","other","rainmin","meantemp","malaria"
"1","Angola","AGO",280,5.63478946685791,5.3600001335144,7.76999998092651,0.136700004339218,0,0,1,0,0,26,1
"2","Argentina","ARG",68.9000015258789,4.23265600204468,6.3899998664856,9.13000011444092,0.377799987792969,0,0,0,0,56,17,0
"3","Australia","AUS",8.55000019073486,2.14593124389648,9.31999969482422,9.89999961853027,0.300000011920929,1,0,0,1,41,17,0
"4","Burkina Faso","BFA",280,5.63478946685791,4.44999980926514,6.84999990463257,0.144400000572205,0,0,1,0,0,29,1
"5","Bangladesh","BGD",71.4100036621094,4.26843786239624,5.1399998664856,6.88000011444092,0.266699999570847,0,1,0,0,2,25,0.178619995713234
"6","Bolivia","BOL",71,4.26268005371094,5.6399998664856,7.92999982833862,0.188899993896484,0,0,0,0,8,12,0.0113570000976324
"7","Brazil","BRA",71,4.26268005371094,7.90999984741211,8.72999954223633,0.111100003123283,0,0,0,0,41,25,0.0332899987697601
"8","Canada","CAN",16.1000003814697,2.77881932258606,9.72999954223633,9.98999977111816,0.666700005531311,1,0,0,0,56,4,0
"9","Chile","CHL",68.9000015258789,4.23265600204468,7.82000017166138,9.34000015258789,0.333299994468689,0,0,0,0,3,17,0
"10","Cote d'Ivoire","CIV",668,6.50428819656372,7,7.44000005722046,0.0888999998569489,0,0,1,0,41,26,1
"11","Cameroon","CMR",280,5.63478946685791,6.44999980926514,7.5,0.0666999965906143,0,0,1,0,23,25,1
"12","Congo","COG",240,5.48063898086548,4.67999982833862,7.42000007629395,0.0110999997705221,0,0,1,0,0,25,1
"13","Colombia","COL",71,4.26268005371094,7.32000017166138,8.8100004196167,0.0443999990820885,0,0,0,0,51,14,0.261694997549057
"14","Costa Rica","CRI",78.0999984741211,4.35799026489258,7.05000019073486,8.78999996185303,0.111100003123283,0,0,0,0,5,21,0
"15","Dominican Re","DOM",130,4.86753463745117,6.17999982833862,8.35999965667725,0.211099997162819,0,0,0,0,36,26,0
"16","Algeria","DZA",78.1999969482422,4.35926961898804,6.5,8.39000034332275,0.311100006103516,0,0,1,0,0,21,0
"17","Ecuador","ECU",71,4.26268005371094,6.55000019073486,8.47000026702881,0.0221999995410442,0,0,0,0,20,15,0.195373997092247
"18","Egypt","EGY",67.8000030517578,4.21656227111816,6.76999998092651,7.94999980926514,0.300000011920929,0,0,1,0,0,24,0
"19","Ethiopia","ETH",26,3.25809645652771,5.73000001907349,6.1100001335144,0.0888999998569489,0,0,1,0,5,17,0.580627024173737
"20","Gabon","GAB",280,5.63478946685791,7.82000017166138,8.89999961853027,0.0110999997705221,0,0,1,0,3,27,1
"21","Ghana","GHA",668,6.50428819656372,6.26999998092651,7.36999988555908,0.0888999998569489,0,0,1,0,15,27,1
"22","Guinea","GIN",483,6.18001651763916,6.55000019073486,7.48999977111816,0.12219999730587,0,0,1,0,3,27,1
"23","Gambia","GMB",1470,7.29301786422729,8.27000045776367,7.26999998092651,0.147599995136261,0,0,1,0,0,24,1
"24","Guatemala","GTM",71,4.26268005371094,5.1399998664856,8.28999996185303,0.170000001788139,0,0,0,0,3,19,0.0153679996728897
"25","Guyana","GUY",32.1800003051758,3.47134518623352,5.8899998664856,7.90000009536743,0.0555999986827374,0,0,0,0,76,27,0.508363008499146
"26","Hong Kong","HKG",14.8999996185303,2.70136117935181,8.14000034332275,10.0500001907349,0.24609999358654,0,1,0,0,31,21,0
"27","Honduras","HND",78.0999984741211,4.35799026489258,5.32000017166138,7.69000005722046,0.166700005531311,0,0,0,0,1,22,0.100000001490116
"28","Haiti","HTI",130,4.86753463745117,3.73000001907349,7.15000009536743,0.211099997162819,0,0,0,0,33,27,1
"29","Indonesia","IDN",170,5.13579845428467,7.59000015258789,7.32999992370605,0.0555999986827374,0,1,0,0,43,28,0.451680988073349
"30","India","IND",48.6300010681152,3.88424062728882,8.27000045776367,7.32999992370605,0.222200006246567,0,1,0,0,3,24,0.332601994276047
"31","Jamaica","JAM",130,4.86753463745117,7.09000015258789,8.1899995803833,0.201700001955032,0,0,0,0,15,26,0
"32","Kenya","KEN",145,4.97673368453979,6.05000019073486,7.05999994277954,0.0110999997705221,0,0,1,0,15,18,0.844834983348846
"33","Sri Lanka","LKA",69.8000030517578,4.24563407897949,6.05000019073486,7.73000001907349,0.0777999982237816,0,1,0,0,69,27,0.175311997532845
"34","Morocco","MAR",78.1999969482422,4.35926961898804,7.09000015258789,8.03999996185303,0.355599999427795,0,0,1,0,0,24,0
"35","Madagascar","MDG",536.039978027344,6.28420877456665,4.44999980926514,6.84000015258789,0.222200006246567,0,0,1,0,8,18,1
"36","Mexico","MEX",71,4.26268005371094,7.5,8.9399995803833,0.25560000538826,0,0,0,0,5,16,0.0411299988627434
"37","Mali","MLI",2940,7.98616504669189,4,6.57000017166138,0.188899993896484,0,0,1,0,0,29,0.989924013614655
"38","Malaysia","MYS",17.7000007629395,2.87356472015381,7.94999980926514,8.89000034332275,0.0255999993532896,0,1,0,0,99,28,0.254328012466431
"39","Niger","NER",400,5.99146461486816,5,6.73000001907349,0.177799999713898,0,0,1,0,0,29,0.984229028224945
"40","Nigeria","NGA",2004,7.60290050506592,5.55000019073486,6.80999994277954,0.111100003123283,0,0,1,0,25,28,1
"41","Nicaragua","NIC",163.300003051758,5.09558916091919,5.23000001907349,7.53999996185303,0.144400000572205,0,0,0,0,1,27,0.100000001490116
"42","New Zealand","NZL",8.55000019073486,2.14593124389648,9.72999954223633,9.76000022888184,0.455599993467331,1,0,0,1,81,15,0
"43","Pakistan","PAK",36.9900016784668,3.61064767837524,6.05000019073486,7.34999990463257,0.333299994468689,0,1,0,0,12,22,0.494610995054245
"44","Panama","PAN",163.300003051758,5.09558916091919,5.90999984741211,8.84000015258789,0.100000001490116,0,0,0,0,10,27,0.0309960003942251
"45","Peru","PER",71,4.26268005371094,5.76999998092651,8.39999961853027,0.111100003123283,0,0,0,0,0,22,0.0297369994223118
"46","Paraguay","PRY",78.0999984741211,4.35799026489258,6.94999980926514,8.21000003814697,0.25560000538826,0,0,0,0,38,22,0.000172000000020489
"47","Sudan","SDN",88.1999969482422,4.47960710525513,4,7.30999994277954,0.166700005531311,0,0,1,0,0,29,0.980239987373352
"48","Senegal","SEN",164.660003662109,5.10388278961182,6,7.40000009536743,0.155599996447563,0,0,1,0,0,28,1
"49","Singapore","SGP",17.7000007629395,2.87356472015381,9.31999969482422,10.1499996185303,0.0136000001803041,0,1,0,0,170,28,0
"50","Sierra Leone","SLE",483,6.18001651763916,5.82000017166138,6.25,0.0922000035643578,0,0,1,0,3,27,1
"51","El Salvador","SLV",78.0999984741211,4.35799026489258,5,7.94999980926514,0.150000005960464,0,0,0,0,46,24,0
"52","Togo","TGO",668,6.50428819656372,6.90999984741211,7.21999979019165,0.0888999998569489,0,0,1,0,15,27,1
"53","Trinidad and Tobago","TTO",85,4.44265127182007,7.44999980926514,8.77000045776367,0.12219999730587,0,0,0,0,41,26,0
"54","Tunisia","TUN",63,4.14313459396362,6.44999980926514,8.47999954223633,0.377799987792969,0,0,1,0,3,24,0
"55","Tanzania","TZA",145,4.97673368453979,6.6399998664856,6.25,0.0666999965906143,0,0,1,0,0,22,1
"56","Uganda","UGA",280,5.63478946685791,4.44999980926514,6.96999979019165,0.0110999997705221,0,0,1,0,46,24,1
"57","Uruguary","URY",71,4.26268005371094,7,9.02999973297119,0.366699993610382,0,0,0,0,66,20,0
"58","USA","USA",15,2.70805025100708,10,10.2200002670288,0.422199994325638,1,0,0,0,66,12,0
"59","Venezuela","VEN",78.0999984741211,4.35799026489258,7.1399998664856,9.06999969482422,0.0888999998569489,0,0,0,0,10,20,0.0022340000141412
"60","Vietnam","VNM",140,4.94164228439331,6.40999984741211,7.28000020980835,0.177799999713898,0,1,0,0,18,25,0.71545797586441
"61","South Africa","ZAF",15.5,2.74083995819092,6.8600001335144,8.89000034332275,0.322200000286102,0,0,1,0,8,19,0
"62","Zaire","ZAR",240,5.48063898086548,3.5,6.86999988555908,0,0,0,1,0,3,25,1
