"","sheet","chain","co_owned","state","empft","emppt","wage_st","empft2","emppt2","wage_st2","fte","fte2","dfte","gap","dw","sample"
"1",46,1,0,0,30,15,NA,3.5,35,4.30000019073486,37.5,21,-16.5,0,NA,0
"2",49,2,0,0,6.5,6.5,NA,0,15,4.44999980926514,9.75,7.5,-2.25,0,NA,0
"3",506,2,1,0,3,7,NA,3,7,5,6.5,6.5,0,0,NA,0
"4",56,4,1,0,20,20,5,0,36,5.25,30,18,-12,0,0.25,1
"5",61,4,1,0,6,26,5.5,28,3,4.75,19,29.5,10.5,0,-0.75,1
"6",62,4,1,0,0,31,5,NA,NA,NA,15.5,NA,NA,0,NA,0
"7",445,1,0,0,50,35,5,15,18,4.75,67.5,24,-43.5,0,-0.25,1
"8",451,1,0,0,10,17,5,26,9,5,18.5,30.5,12,0,0,1
"9",455,2,1,0,2,8,5.25,3,12,5,6,9,3,0,-0.25,1
"10",458,2,1,0,2,10,5,2,9,5,7,6.5,-0.5,0,0,1
"11",462,3,1,0,2.5,20,5,1,25,4.75,12.5,13.5,1,0,-0.25,1
"12",468,1,0,0,40,30,5,9,32,5,55,25,-30,0,0,1
"13",469,1,0,0,8,27,5,7,39,4.5,21.5,26.5,5,0,-0.5,1
"14",470,1,0,0,10.5,30,5.5,18,10,4.75,25.5,23,-2.5,0,-0.75,1
"15",474,1,0,0,6,9,5,5,20,4.5,10.5,15,4.5,0,-0.5,1
"16",481,2,1,0,5,17.5,5.25,15,4,5,13.75,17,3.25,0,-0.25,1
"17",483,2,1,0,1,15,5,4,13,4.75,8.5,10.5,2,0,-0.25,1
"18",487,3,1,0,10,6,5,6,20,4.75,13,16,3,0,-0.25,1
"19",488,3,0,0,20,13,5,5,15,4.75,26.5,12.5,-14,0,-0.25,1
"20",489,3,0,0,5,23,5,2,19,4.25,16.5,11.5,-5,0,-0.75,1
"21",490,3,1,0,10,12.5,5,2,18,5,16.25,11,-5.25,0,0,1
"22",493,3,1,0,27,12,5,0,30,4.90000009536743,33,15,-18,0,-0.0999999046325684,1
"23",495,3,0,0,4,28,5,8,20,5,18,18,0,0,0,1
"24",496,3,1,0,10,15,5,10,10,4.75,17.5,15,-2.5,0,-0.25,1
"25",499,4,1,0,0,28,5,0,31,5,14,15.5,1.5,0,0,1
"26",509,3,1,0,3,16,5,5.5,10,4.25,11,10.5,-0.5,0,-0.75,1
"27",515,3,1,0,7,16,5,5,19,4.75,15,14.5,-0.5,0,-0.25,1
"28",37,1,0,0,21,9,4.25,6,25,4.25,25.5,18.5,-7,0,0,1
"29",39,1,0,0,1,32,4.25,5,15,NA,17,12.5,-4.5,0,NA,0
"30",40,1,0,0,10,20,4.25,7,25,4.25,20,19.5,-0.5,0,0,1
"31",41,1,0,0,0,27,4.25,0,42,4.25,13.5,21,7.5,0,0,1
"32",42,1,0,0,17,4,4.5,0,22,4.25,19,11,-8,0,-0.25,1
"33",45,1,0,0,0,24,4.25,11,12,4.25,12,17,5,0,0,1
"34",47,1,0,0,25,15,4.5,0,45,4.25,32.5,22.5,-10,0,-0.25,0
"35",48,1,0,0,6,20,4.25,7.5,25,4.38000011444092,16,20,4,0,0.130000114440918,1
"36",50,2,0,0,6,10,4.5,4,20,4.75,11,14,3,0,0.25,1
"37",51,2,0,0,0,15,4.25,6,15,4.25,7.5,13.5,6,0,0,1
"38",57,4,1,0,30,10,4.67000007629395,7,18,4.5,35,16,-19,0,-0.170000076293945,1
"39",58,4,1,0,8,25,4.75,0,28,4.5,20.5,14,-6.5,0,-0.25,1
"40",59,4,0,0,0,15,4.25,0,16,4.25,7.5,8,0.5,0,0,1
"41",60,4,0,0,10,20,4.25,10,20,4.25,20,20,0,0,0,1
"42",407,2,1,0,2,12,4.75,1,14,4.25,8,8,0,0,-0.5,1
"43",430,1,0,0,20,25,4.25,0,48,4.25,32.5,24,-8.5,0,0,1
"44",432,1,0,0,20,55,4.5,25,10,5.05000019073486,47.5,30,-17.5,0,0.550000190734863,1
"45",433,1,0,0,10,30,4.25,0,42,NA,25,21,-4,0,NA,0
"46",434,1,0,0,15,50,4.25,19,29,4.25,40,33.5,-6.5,0,0,1
"47",435,1,0,0,1,37.5,4.25,0,32,4.25,19.75,16,-3.75,0,0,1
"48",438,2,0,0,0,9,4.25,2,9,4.25,4.5,6.5,2,0,0,1
"49",440,4,0,0,0,25,4.25,0,30,NA,12.5,15,2.5,0,NA,0
"50",441,4,0,0,30,10,4.25,0,30,4.25,35,15,-20,0,0,1
"51",443,4,0,0,4,19,4.25,5,20,4.34999990463257,13.5,15,1.5,0,0.0999999046325684,1
"52",444,4,0,0,12,20,4.25,10,35,4.5,22,27.5,5.5,0,0.25,1
"53",446,1,0,0,NA,NA,4.5,7,24,5,NA,19,NA,0,0.5,0
"54",448,1,0,0,8,18,4.75,8,27,4.5,17,21.5,4.5,0,-0.25,1
"55",449,1,0,0,0,25,4.86999988555908,15,15,5,12.5,22.5,10,0,0.130000114440918,1
"56",450,1,0,0,2,21,4.75,27.5,8,4.75,12.5,31.5,19,0,0,1
"57",454,2,1,0,1,9,4.5,0,18,5,5.5,9,3.5,0,0.5,1
"58",459,3,1,0,5,20,4.25,0,20,4.34999990463257,15,10,-5,0,0.0999999046325684,1
"59",466,4,0,0,8,17.5,4.75,14,12,NA,16.75,20,3.25,0,NA,0
"60",471,1,0,0,25,20,4.25,12,23,4.25,35,23.5,-11.5,0,0,1
"61",472,1,0,0,37.5,2,4.25,8,25,4.90000009536743,38.5,20.5,-18,0,0.650000095367432,1
"62",473,1,0,0,5,27,4.75,26,15,4.5,18.5,33.5,15,0,-0.25,1
"63",475,1,0,0,25,8,4.5,10,16,4.5,29,18,-11,0,0,1
"64",476,1,0,0,6,30,4.25,5,30,4.75,21,20,-1,0,0.5,1
"65",477,1,0,0,8,28,4.25,6,20,6.25,22,16,-6,0,2,1
"66",478,1,0,0,32,25,4.5,8,30,4.34999990463257,44.5,23,-21.5,0,-0.150000095367432,1
"67",485,2,1,0,1,9,4.5,4,12,4.5,5.5,10,4.5,0,0,1
"68",491,3,0,0,4,25,4.5,0,0,NA,16.5,0,-16.5,0,NA,0
"69",492,3,1,0,2,16,4.5,4,15,4.5,10,11.5,1.5,0,0,1
"70",497,4,1,0,12,15,4.5,NA,NA,NA,19.5,NA,NA,0,NA,0
"71",498,4,1,0,20,10,4.75,21,5.5,5,25,23.75,-1.25,0,0.25,1
"72",501,1,0,0,14,15,4.25,30,15,4.75,21.5,37.5,16,0,0.5,1
"73",503,1,0,0,7.5,14,4.75,35,6.5,4.5,14.5,38.25,23.75,0,-0.25,1
"74",510,3,1,0,7,25,4.25,2.5,17.5,NA,19.5,11.25,-8.25,0,NA,0
"75",511,3,1,0,4,16,4.75,3,13,4.75,12,9.5,-2.5,0,0,1
"76",514,3,0,0,5,20,4.5,23,16,4.25,15,31,16,0,-0.25,1
"77",516,3,1,0,6,22.5,4.75,2,12,4.90999984741211,17.25,8,-9.25,0,0.159999847412109,1
"78",521,1,0,0,2.5,20,4.25,0,12,4.40000009536743,12.5,6,-6.5,0,0.150000095367432,1
"79",522,1,0,0,2,30,4.34999990463257,3,23,4.25,17,14.5,-2.5,0,-0.0999999046325684,1
"80",113,1,0,1,0,22,NA,2,40,5.05000019073486,11,22,11,0,NA,0
"81",123,1,0,1,0,20,NA,5,25,5.05000019073486,10,17.5,7.5,0,NA,0
"82",135,3,0,1,10,20,NA,8,24,5.05000019073486,20,20,0,0,NA,0
"83",138,3,1,1,4.5,25.5,NA,2,33,5.05000019073486,17.25,18.5,1.25,0,NA,0
"84",153,1,0,1,0,25,NA,26.5,10,5.05000019073486,12.5,31.5,19,0,NA,0
"85",181,2,0,1,0,13,NA,1,15,5.05000019073486,6.5,8.5,2,0,NA,0
"86",191,4,0,1,30,20,NA,0,25,5.05000019073486,40,12.5,-27.5,0,NA,0
"87",231,1,0,1,NA,10,NA,16,6,5.05000019073486,NA,19,NA,0,NA,0
"88",236,1,0,1,0,34,NA,23,22,5.05000019073486,17,34,17,0,NA,0
"89",254,4,0,1,20,10,NA,28,10,5.25,25,33,8,0,NA,0
"90",255,4,0,1,0,14,NA,8,12,NA,7,14,7,0,NA,0
"91",294,1,0,1,0,35,NA,0,35,5.05000019073486,17.5,17.5,0,0,NA,0
"92",306,3,1,1,15,15,NA,6,20,5.05000019073486,22.5,16,-6.5,0,NA,0
"93",311,4,0,1,0,30,NA,35,30,5.05000019073486,15,50,35,0,NA,0
"94",315,1,0,1,5,19,NA,4.5,20,5.05000019073486,14.5,14.5,0,0,NA,0
"95",335,1,1,1,9,10,NA,7,13,5.05000019073486,14,13.5,-0.5,0,NA,0
"96",372,1,1,1,0,45,NA,30,20,5.05000019073486,22.5,40,17.5,0,NA,0
"97",6,3,1,1,2,2,5,5,2,5.05000019073486,3,6,3,0.00999999977648258,0.0500001907348633,1
"98",14,2,0,1,10,8,5.11999988555908,4,17,5.05000019073486,14,12.5,-1.5,0,-0.0699996948242188,1
"99",26,1,0,1,30,15,5.55999994277954,10,20,5.05000019073486,37.5,20,-17.5,0,-0.509999752044678,1
"100",27,2,1,1,4,10,5,0,7,5.05000019073486,9,3.5,-5.5,0.00999999977648258,0.0500001907348633,1
"101",30,2,0,1,6,4,5,4,3,5.05000019073486,8,5.5,-2.5,0.00999999977648258,0.0500001907348633,1
"102",31,2,0,1,4,16,5.25,6,15,5.05000019073486,12,13.5,1.5,0,-0.199999809265137,1
"103",33,3,0,1,12,20,5,6,11,5.05000019073486,22,11.5,-10.5,0.00999999977648258,0.0500001907348633,1
"104",36,4,0,1,8,12,5.5,10,35,5.05000019073486,14,27.5,13.5,0,-0.449999809265137,1
"105",77,3,0,1,6,50,5,4,60,5.05000019073486,31,34,3,0.00999999977648258,0.0500001907348633,1
"106",78,3,1,1,13,10,5,10,12,5.05000019073486,18,16,-2,0.00999999977648258,0.0500001907348633,1
"107",81,4,0,1,25,13,5,0,45,5.05000019073486,31.5,22.5,-9,0.00999999977648258,0.0500001907348633,1
"108",82,4,0,1,8,14.5,5,25,8,5.05000019073486,15.25,29,13.75,0.00999999977648258,0.0500001907348633,1
"109",83,4,0,1,12.5,20,5,NA,NA,5.05000019073486,22.5,NA,NA,0.00999999977648258,0.0500001907348633,0
"110",85,1,0,1,7,20,5.5,0,35,5.05000019073486,17,17.5,0.5,0,-0.449999809265137,1
"111",89,1,1,1,10,6,5,6,25,5.5,13,18.5,5.5,0.00999999977648258,0.5,1
"112",94,2,0,1,0,25,5,2,20,5.05000019073486,12.5,12,-0.5,0.00999999977648258,0.0500001907348633,1
"113",103,4,0,1,12.5,10,5,NA,NA,5.05000019073486,17.5,NA,NA,0.00999999977648258,0.0500001907348633,0
"114",112,4,0,1,4,26,5,5,25,5.05000019073486,17,17.5,0.5,0.00999999977648258,0.0500001907348633,1
"115",128,2,1,1,6.5,7.5,5,3,16,5.05000019073486,10.25,11,0.75,0.00999999977648258,0.0500001907348633,1
"116",129,3,0,1,20,20,5.25,7,18,5.05000019073486,30,16,-14,0,-0.199999809265137,1
"117",131,3,0,1,15,25,5.5,8,22,5.05000019073486,27.5,19,-8.5,0,-0.449999809265137,1
"118",139,4,0,1,NA,NA,5.5,11,25,5.5,NA,23.5,NA,0,0,0
"119",143,4,0,1,0,30,5.36999988555908,NA,NA,NA,15,NA,NA,0,NA,0
"120",144,4,0,1,10,30,5.05000019073486,4,37,5.05000019073486,25,22.5,-2.5,0,0,1
"121",145,1,0,1,5,17,5,10,8,5.28000020980835,13.5,14,0.5,0.00999999977648258,0.28000020980835,1
"122",147,1,0,1,8.5,6.5,5.11999988555908,6,0,5.25,11.75,6,-5.75,0,0.130000114440918,1
"123",148,1,0,1,4.5,30,5.25,7.5,30,5.05000019073486,19.5,22.5,3,0,-0.199999809265137,1
"124",151,1,0,1,1,12,5,0,0,NA,7,0,-7,0.00999999977648258,NA,0
"125",152,1,0,1,35,15,5.11999988555908,12,13.5,5.05000019073486,42.5,18.75,-23.75,0,-0.0699996948242188,1
"126",157,2,0,1,10,5,5,12,8,5.5,12.5,16,3.5,0.00999999977648258,0.5,1
"127",161,3,1,1,8,25,5,26,12,5.05000019073486,20.5,32,11.5,0.00999999977648258,0.0500001907348633,1
"128",163,3,1,1,12,18,5,1.5,33,5.05000019073486,21,18,-3,0.00999999977648258,0.0500001907348633,1
"129",164,3,1,1,4,30,5,5,15,5.05000019073486,19,12.5,-6.5,0.00999999977648258,0.0500001907348633,1
"130",165,4,0,1,20,10,5,10,17,5.05000019073486,25,18.5,-6.5,0.00999999977648258,0.0500001907348633,1
"131",169,1,1,1,12,33,5,20,6,5.05000019073486,28.5,23,-5.5,0.00999999977648258,0.0500001907348633,1
"132",170,1,1,1,10,20,5,20,20,5.05000019073486,20,30,10,0.00999999977648258,0.0500001907348633,1
"133",187,3,0,1,4,20,5.61999988555908,5,17.5,5.05000019073486,14,13.75,-0.25,0,-0.569999694824219,1
"134",190,3,1,1,5,42,5,7,30,5.05000019073486,26,22,-4,0.00999999977648258,0.0500001907348633,1
"135",196,4,1,1,8,19,5,0,30,5.05000019073486,17.5,15,-2.5,0.00999999977648258,0.0500001907348633,1
"136",197,1,0,1,23,10,5,5,21,5.05000019073486,28,15.5,-12.5,0.00999999977648258,0.0500001907348633,1
"137",234,1,0,1,0,10,5,10,4,5.05000019073486,5,12,7,0.00999999977648258,0.0500001907348633,1
"138",240,3,1,1,15,35,5.09999990463257,15,15,5.05000019073486,32.5,22.5,-10,0,-0.0499997138977051,1
"139",241,3,0,1,15,25,5,15,NA,5.05000019073486,27.5,NA,NA,0.00999999977648258,0.0500001907348633,0
"140",242,3,1,1,25,10,5.25,12,10,5.05000019073486,30,17,-13,0,-0.199999809265137,1
"141",245,3,0,1,15,8,5.5,8,12,5.05000019073486,19,14,-5,0,-0.449999809265137,1
"142",259,1,0,1,13,12,5,15,15,5.05000019073486,19,22.5,3.5,0.00999999977648258,0.0500001907348633,1
"143",268,1,1,1,10,18,5,0,42.5,5.05000019073486,19,21.25,2.25,0.00999999977648258,0.0500001907348633,1
"144",271,2,1,1,0,13,5,0,15,5.05000019073486,6.5,7.5,1,0.00999999977648258,0.0500001907348633,1
"145",272,2,1,1,4,11,5.05000019073486,2,14,5.25,9.5,9,-0.5,0,0.199999809265137,1
"146",274,2,1,1,0,15,5.5,3,7,5.05000019073486,7.5,6.5,-1,0,-0.449999809265137,1
"147",276,2,1,1,5,10,5,5,15,5.05000019073486,10,12.5,2.5,0.00999999977648258,0.0500001907348633,1
"148",296,1,1,1,5,16,5.30000019073486,4,9,5.05000019073486,13,8.5,-4.5,0,-0.25,1
"149",299,2,1,1,3,8,5,6,12,5.05000019073486,7,12,5,0.00999999977648258,0.0500001907348633,1
"150",301,2,1,1,8,12,5,2,7,5.05000019073486,14,5.5,-8.5,0.00999999977648258,0.0500001907348633,1
"151",320,2,0,1,5,9,5,4,6,5.05000019073486,9.5,7,-2.5,0.00999999977648258,0.0500001907348633,1
"152",321,2,0,1,3,14,5,4,11,5.05000019073486,10,9.5,-0.5,0.00999999977648258,0.0500001907348633,1
"153",324,3,0,1,20,46,5.25,22,39,5.05000019073486,43,41.5,-1.5,0,-0.199999809265137,1
"154",326,3,1,1,18,45,5.15000009536743,0,45,5.05000019073486,40.5,22.5,-18,0,-0.0999999046325684,1
"155",330,4,0,1,4,16,5.42000007629395,3,20,5.67000007629395,12,13,1,0,0.25,1
"156",334,1,0,1,10,10,5,0,20,5.05000019073486,15,10,-5,0.00999999977648258,0.0500001907348633,1
"157",349,3,1,1,2.5,27,5,0,20,5.05000019073486,16,10,-6,0.00999999977648258,0.0500001907348633,1
"158",354,4,0,1,14,7,5.05999994277954,9,7,5.05000019073486,17.5,12.5,-5,0,-0.00999975204467773,1
"159",356,4,0,1,11.5,10,5.05000019073486,0,28,5.05000019073486,16.5,14,-2.5,0,0,1
"160",357,4,0,1,4.5,20,5,21,6,5.25,14.5,24,9.5,0.00999999977648258,0.25,1
"161",371,1,0,1,12,23,5,11,22,5.25,23.5,22,-1.5,0.00999999977648258,0.25,1
"162",373,1,1,1,14,12,5,18,15,5.05000019073486,20,25.5,5.5,0.00999999977648258,0.0500001907348633,1
"163",375,1,0,1,25,10,5.25,0,25,5.5,30,12.5,-17.5,0,0.25,1
"164",378,1,1,1,10,8,5,20,15,5.05000019073486,14,27.5,13.5,0.00999999977648258,0.0500001907348633,1
"165",381,1,0,1,10,20,5,15,15,5.05000019073486,20,22.5,2.5,0.00999999977648258,0.0500001907348633,1
"166",403,3,1,1,13,31,5.05000019073486,11,23,5.05000019073486,28.5,22.5,-6,0,0,0
"167",406,4,1,1,12,35,5,17,22,5.5,29.5,28,-1.5,0.00999999977648258,0.5,1
"168",407,4,1,1,5,10,5.75,8,7,5.5,10,11.5,1.5,0,-0.25,1
"169",409,1,0,1,3,60,5,0,15,5.05000019073486,33,7.5,-25.5,0.00999999977648258,0.0500001907348633,1
"170",1,1,0,1,16,30,4.5,20,40,5.05000019073486,31,40,9,0.122222222387791,0.550000190734863,1
"171",2,1,0,1,10,6,4.75,7.5,10,5.25,13,12.5,-0.5,0.063157893717289,0.5,1
"172",3,2,0,1,6,13,4.25,4,7,5.05000019073486,12.5,7.5,-5,0.18823529779911,0.800000190734863,1
"173",4,3,0,1,10,12,4.75,5,30,5.05000019073486,16,20,4,0.063157893717289,0.300000190734863,1
"174",5,3,0,1,5,30,4.5,10,30,5.15000009536743,20,25,5,0.122222222387791,0.650000095367432,1
"175",8,4,0,1,NA,25,4.80000019073486,15,25,5.05000019073486,NA,27.5,NA,0.0520832911133766,0.25,0
"176",9,1,0,1,12,40,4.36999988555908,0,32,5.05000019073486,32,16,-16,0.155606433749199,0.680000305175781,1
"177",10,1,0,1,15,20,4.25,15,15,5.05000019073486,25,22.5,-2.5,0.18823529779911,0.800000190734863,1
"178",11,1,0,1,10,30,4.25,12,24,5.05000019073486,25,24,-1,0.18823529779911,0.800000190734863,1
"179",12,1,0,1,6.5,23.5,4.36999988555908,15,15,5.05000019073486,18.25,22.5,4.25,0.155606433749199,0.680000305175781,1
"180",13,2,0,1,0,25,4.5,2,11,5,12.5,7.5,-5,0.122222222387791,0.5,1
"181",15,3,0,1,3,25,4.59999990463257,5,20,5.05000019073486,15.5,15,-0.5,0.0978261083364487,0.450000286102295,1
"182",16,3,0,1,6,22,4.5,7,17,5.05000019073486,17,15.5,-1.5,0.122222222387791,0.550000190734863,1
"183",17,3,0,1,0,20,4.36999988555908,4,35,5.05000019073486,10,21.5,11.5,0.155606433749199,0.680000305175781,1
"184",18,3,0,1,15,25,4.25,8,38,5.05000019073486,27.5,27,-0.5,0.18823529779911,0.800000190734863,1
"185",19,1,0,1,4,31,4.25,6,44,5.05000019073486,19.5,28,8.5,0.18823529779911,0.800000190734863,1
"186",21,2,0,1,5,12,4.44999980926514,0,11,5.05000019073486,11,5.5,-5.5,0.134831503033638,0.600000381469727,1
"187",22,3,0,1,3,15,4.34999990463257,3,15,5.05000019073486,10.5,10.5,0,0.160919561982155,0.700000286102295,1
"188",23,1,0,1,0,25,4.5,14,14,5.05000019073486,12.5,21,8.5,0.122222222387791,0.550000190734863,1
"189",24,1,0,1,15,15,4.75,15,20,5.05000019073486,22.5,25,2.5,0.063157893717289,0.300000190734863,1
"190",28,2,0,1,0,14,4.5,6,2,NA,7,7,0,0.122222222387791,NA,0
"191",29,2,0,1,0,7,4.5,0,13,5.05000019073486,3.5,6.5,3,0.122222222387791,0.550000190734863,1
"192",32,3,0,1,10,20.5,4.5,2,25,5.05000019073486,20.25,14.5,-5.75,0.122222222387791,0.550000190734863,1
"193",34,3,1,1,5,15,4.94999980926514,11,7,5.05000019073486,12.5,14.5,2,0.0202020592987537,0.100000381469727,1
"194",35,4,0,1,25,6.5,4.5,13,18,5.05000019073486,28.25,22,-6.25,0.122222222387791,0.550000190734863,1
"195",38,1,0,1,15,20,4.25,10,20,5.05000019073486,25,20,-5,0.18823529779911,0.800000190734863,1
"196",63,1,1,1,26,6,4.25,15,10,5.05000019073486,29,20,-9,0.18823529779911,0.800000190734863,0
"197",64,1,0,1,20,15,4.5,13,13,5.05000019073486,27.5,19.5,-8,0.122222222387791,0.550000190734863,1
"198",65,1,0,1,0,20,4.80000019073486,NA,NA,5.05000019073486,10,NA,NA,0.0520832911133766,0.25,0
"199",66,1,0,1,15,18,4.25,26,10,5.05000019073486,24,31,7,0.18823529779911,0.800000190734863,1
"200",67,1,0,1,5,15,4.5,4,17.5,5.05000019073486,12.5,12.75,0.25,0.122222222387791,0.550000190734863,1
"201",68,1,0,1,30,10,4.25,13,17,5.05000019073486,35,21.5,-13.5,0.18823529779911,0.800000190734863,1
"202",69,1,0,1,0,27,4.25,0,27,5.05000019073486,13.5,13.5,0,0.18823529779911,0.800000190734863,1
"203",70,1,0,1,35,20,4.5,10,30,5.05000019073486,45,25,-20,0.122222222387791,0.550000190734863,1
"204",71,1,0,1,0,35,4.75,29,14,5.05000019073486,17.5,36,18.5,0.063157893717289,0.300000190734863,1
"205",73,2,0,1,0,7,4.25,14,0,5.05000019073486,3.5,14,10.5,0.18823529779911,0.800000190734863,1
"206",75,2,0,1,3,15,4.25,4,11,5.05000019073486,10.5,9.5,-1,0.18823529779911,0.800000190734863,1
"207",76,3,1,1,8,32,4.25,25,15,5.05000019073486,24,32.5,8.5,0.18823529779911,0.800000190734863,1
"208",79,3,1,1,6,25,4.5,8,18,5.05000019073486,18.5,17,-1.5,0.122222222387791,0.550000190734863,1
"209",80,4,0,1,4.5,20,4.25,11,14,5.05000019073486,14.5,18,3.5,0.18823529779911,0.800000190734863,0
"210",84,1,0,1,4,30,4.5,12,30,5.05000019073486,19,27,8,0.122222222387791,0.550000190734863,1
"211",86,1,0,1,11,11,4.25,9,12,5.05000019073486,16.5,15,-1.5,0.18823529779911,0.800000190734863,1
"212",87,1,0,1,0,15,4.5,0,30,5.05000019073486,7.5,15,7.5,0.122222222387791,0.550000190734863,0
"213",88,1,0,1,3,35,4.25,4,37,5.05000019073486,20.5,22.5,2,0.18823529779911,0.800000190734863,1
"214",91,1,1,1,8,22,4.25,0,30,5.05000019073486,19,15,-4,0.18823529779911,0.800000190734863,1
"215",92,1,1,1,4,18,4.25,14,6,5.05000019073486,13,17,4,0.18823529779911,0.800000190734863,1
"216",93,1,1,1,2.5,30,4.25,5,25,5.05000019073486,17.5,17.5,0,0.18823529779911,0.800000190734863,1
"217",95,2,0,1,18,3,4.25,0,14,5.05000019073486,19.5,7,-12.5,0.18823529779911,0.800000190734863,1
"218",96,2,0,1,0,15,4.25,0,15,5.05000019073486,7.5,7.5,0,0.18823529779911,0.800000190734863,1
"219",97,2,0,1,0,12,4.25,2.5,11,5.05000019073486,6,8,2,0.18823529779911,0.800000190734863,1
"220",98,2,0,1,0,20,4.25,3,13,5.05000019073486,10,9.5,-0.5,0.18823529779911,0.800000190734863,1
"221",99,3,1,1,60,40,4.75,30,50,5.05000019073486,80,55,-25,0.063157893717289,0.300000190734863,1
"222",101,3,0,1,4.5,15,4.75,10,12,5.05000019073486,12,16,4,0.063157893717289,0.300000190734863,1
"223",102,3,0,1,12,13,4.40000009536743,0,27,5.05000019073486,18.5,13.5,-5,0.147727251052856,0.650000095367432,1
"224",104,4,0,1,40,20,4.61999988555908,11,10,5.05000019073486,50,16,-34,0.0930736213922501,0.430000305175781,1
"225",105,1,0,1,0,40,4.25,0,45,5.05000019073486,20,22.5,2.5,0.18823529779911,0.800000190734863,1
"226",106,1,0,1,0,35,4.25,2,25,5.05000019073486,17.5,14.5,-3,0.18823529779911,0.800000190734863,1
