SPREAD,H,MAT,SAG,BIL,COL,MAS,DUN,REC,LV
34,1,7,31,28,17,38,14,0,24
29,-1,34,29,10,41,26,18,33.33333,13.5
10,-1,-16,-23,-33,5,-12,-25,8.33333,-10.5
-11,1,2,-8,-8,-7,-2,-4,0,3
35,-1,35,35,38,25,25,28,25,5
-2,1,29,36,17,25,20,11,33.33333,11.5
11,1,35,39,28,40,30,34,41.66667,10
20,1,29,13,12,37,13,26,25,7.5
7,1,40,41,-7,45,36,43,66.66667,11.5
20,-1,61,37,36,80,51,35,75,11
7,-1,64,84,78,43,85,96,35,24
35,-1,52,51,32,44,52,59,50,16.5
36,1,89,73,73,85,76,73,75,22
3,1,22,29,50,56,38,26,75,5.5
-3,1,21,17,16,31,25,32,33.33333,13.5
20,1,59,65,55,87,72,63,100,19.5
18,1,-10,1,-21,-14,12,-15,-33.33333,3
5,1,16,14,38,37,13,33,30,8
6,1,58,70,60,32,68,58,33.33333,25.5
49,1,72,71,32,38,45,50,0,22
3,1,31,44,33,40,35,44,-10,6
23,1,37,55,41,40,55,41,41.66667,13
2,1,-12,2,-2,10,8,-3,41.66667,2.5
22,-1,5,22,25,22,25,4,16.66667,0
3,-1,4,4,8,11,16,26,16.66667,3.5
7,-1,24,6,-1,9,8,12,33.33333,-5.5
27,-1,78,63,64,58,78,76,75,24
-9,-1,5,-2,-26,-6,-24,-5,0,-3.5
31,1,24,44,40,36,37,14,25,14
18,-1,56,61,61,39,66,63,66.66667,21.5
17,1,45,36,42,77,44,45,50,17.5
-31,-1,28,19,12,-16,12,45,-25,4
17,1,12,55,14,11,23,5,-33.33333,7
31,-1,-62,-58,-49,-63,-52,-53,-60,-14.5
21,1,31,15,-13,37,18,18,33.33333,7
-5,-1,41,40,37,52,49,33,50,8
17,1,36,50,35,37,46,29,25,25.5
-3,1,39,35,24,21,19,19,16.66667,6.5
12,1,47,10,39,76,21,43,100,19.5
36,1,85,83,62,53,79,73,41.66667,33.5
17,1,-23,5,-17,-13,1,-27,-25,-2.5
1,-1,6,-4,5,-11,1,14,-25,3
13,1,6,23,-2,42,17,-3,13.33333,10
15,-1,18,19,34,-32,11,27,-33.33333,10.5
6,-1,64,65,59,60,65,75,66.66667,14.5
17,1,10,12,20,-3,34,24,0,13
-2,-1,11,11,10,-4,7,20,0,6
17,-1,13,16,-13,5,3,-7,-13.33333,-4.5
14,1,-12,-6,-7,-22,-4,-7,0,-1
19,1,5,4,11,16,3,1,0,-1.5
22,-1,9,6,10,20,4,25,25,7
41,1,70,72,77,54,79,81,50,33
-3,-1,41,48,22,23,28,46,20,23
10,1,9,32,-5,-4,2,29,-20,8.5
28,-1,60,64,76,64,58,68,40,17.5
41,-1,69,78,70,83,70,71,100,13.5
28,-1,48,42,54,51,52,62,50,21.5
21,-1,31,17,22,56,31,23,55,3.5
3,-1,19,18,13,28,1,5,20,-8.5
-6,1,8,7,-4,5,2,2,0,4
4,-1,40,47,52,15,51,66,30,16.5
14,1,9,4,3,-5,13,17,-20,11
32,-1,54,52,40,78,54,39,41.66667,3.5
3,-1,46,65,67,66,47,62,60,8
16,-1,63,53,73,69,64,52,50,7.5
14,1,23,28,25,19,28,46,20,20
22,1,11,15,-12,12,2,-8,0,13.5
-3,-1,61,56,56,76,47,60,60,9
-19,-1,34,48,28,13,39,47,0,14.5
4,-1,54,60,53,49,52,64,60,14
-3,1,45,47,31,43,34,27,25,11
31,1,-16,-8,-14,-37,-13,2,-55,2
-3,-1,37,46,-3,9,13,44,-15,8
6,1,24,34,-2,14,26,47,-10,8.5
20,-1,77,89,59,73,75,74,55,25
6,-1,25,34,51,24,27,45,25,2.5
-8,1,2,3,-23,-6,-16,-10,0,-3.5
59,1,9,9,-23,7,-3,-9,10,7
-3,-1,5,6,-6,9,-13,1,8.33333,-5
-9,-1,18,18,-8,20,-13,-12,20,-7.5
31,1,40,38,27,53,39,8,15,12.5
10,1,14,-19,-5,-10,15,25,-15,12
35,1,2,29,6,-13,-2,8,-35,7
3,-1,25,38,13,25,32,16,25,9
7,-1,33,38,26,26,26,37,40,8.5
23,-1,41,36,32,3,37,55,15,13.5
3,1,14,-2,3,16,18,2,20,9
19,1,22,31,2,-20,19,32,0,17.5
-3,-1,69,68,68,94,42,45,100,14
-26,-1,26,24,45,69,34,12,43.33333,9.5
8,-1,57,48,33,77,49,62,80,7
12,-1,-57,-44,-70,-28,-59,-38,0,-24
14,-1,2,-12,-12,27,3,-1,10,-7.5
-6,-1,-31,-27,-42,-36,-41,-12,-50,-12.5
-10,-1,42,42,32,40,24,38,20,10.5
28,1,-11,6,4,-9,-9,11,-20,4.5
19,1,53,48,51,56,39,56,60,7
11,1,45,42,58,50,47,50,35,14.5
25,1,11,21,27,7,9,12,5,12
21,-1,10,10,-1,-2,8,12,-20,9.5
7,1,11,20,2,18,15,16,33.33333,13
-31,1,5,-6,-15,39,-7,-40,50,-7.5
-6,-1,5,5,2,-2,-1,-4,20,-4
10,1,32,37,43,43,42,21,40,26
-34,-1,-8,-8,-5,1,-3,-4,0,-11
-7,1,5,5,15,15,12,7,25,7.5
11,-1,21,9,36,31,23,8,25,2
16,1,74,76,76,57,78,86,60,35.5
7,1,21,23,11,29,13,17,26.19048,5.5
42,1,89,91,85,107,89,81,100,25.5
42,-1,22,25,36,28,27,44,40,3
42,1,50,51,53,40,68,68,31.42857,18
-5,1,47,62,57,58,48,63,50,16
14,1,71,69,66,65,74,74,63.33333,22
36,-1,10,9,14,9,40,27,10,13
39,1,79,90,72,84,79,78,100,30.5
32,1,67,63,61,82,69,47,63.33333,16.5
-7,1,-8,15,-24,-32,-8,-6,-43.33333,10
3,1,45,65,32,40,45,43,30,16.5
30,1,22,40,6,17,21,20,20,12
15,1,71,75,33,64,53,57,26.66667,22.5
10,1,33,25,26,28,11,9,8.33333,4
-11,-1,11,8,-4,-9,1,26,-6.66667,0
35,-1,6,5,-15,-4,-1,14,-22.85714,-6
38,1,56,65,33,66,52,31,46.66667,11
7,1,49,35,71,52,48,47,23.33333,12.5
21,1,53,54,56,56,56,57,40,23.5
14,1,56,62,56,62,44,42,46.66667,8
-10,-1,-11,-17,-16,-4,-20,-21,-6.66667,-12
21,-1,41,29,6,38,26,42,40,7.5
14,1,23,29,12,38,18,21,40,9.5
35,1,61,64,38,73,48,55,46.66667,17.5
28,1,18,16,32,10,47,41,-3.33333,11
5,-1,30,21,14,30,26,20,33.33333,4.5
-4,-1,80,88,86,75,83,89,80,23.5
-17,-1,37,28,17,25,9,21,-20,-3.5
-9,-1,39,30,34,55,43,31,55,2.5
3,-1,-58,-44,-33,-64,-35,4,-80,-10.5
2,-1,9,-3,-8,3,8,-10,0,-4.5
21,1,9,25,-14,-26,5,16,-16.66667,11.5
12,-1,26,6,9,55,18,-24,46.66667,-6.5
32,1,42,59,51,22,59,92,30,31.5
18,1,17,14,35,46,25,3,30,13
3,1,45,36,51,66,46,37,63.33333,14
1,-1,47,53,27,57,49,48,60,10
8,1,-33,-36,-43,-53,-44,-37,-33.33333,-5
4,-1,-25,-21,-23,-18,-13,-4,0,0
7,1,4,10,-15,-4,-1,-10,4.7619,9
22,1,15,25,19,3,11,11,16.66667,12
45,1,4,6,3,-6,2,9,-3.33333,6.5
12,-1,-3,-4,-9,-8,-7,-2,-33.33333,-3
6,1,-2,-3,-13,15,-2,-9,16.66667,0
17,-1,-17,-13,-17,-7,-14,-9,16.66667,-11.5
42,1,62,58,44,62,59,66,66.66667,34
10,1,-1,2,-1,1,-1,4,0,4.5
14,1,6,19,-2,3,11,14,0,19
3,-1,43,51,59,61,60,58,42.85714,9.5
19,-1,50,53,57,47,53,55,35.71429,21.5
7,-1,-4,-4,-6,-8,-7,1,-14.28571,-2
7,1,7,8,7,6,10,5,-5.71429,7.5
-21,-1,18,8,18,31,8,3,33.33333,-8
10,1,-5,-3,-7,-5,-6,-2,-20,-7.5
-11,1,-2,3,15,-14,-1,9,-16.66667,9.5
6,-1,26,15,35,30,28,28,16.66667,6
8,-1,-20,-19,-22,-21,-23,-18,-25,-18
-4,-1,48,52,68,55,45,21,19.04762,6
34,1,15,29,15,7,22,22,0,21
2,-1,25,21,36,35,14,-9,16.66667,-3.5
44,-1,23,30,30,15,33,62,16.66667,12
38,-1,76,82,57,84,76,59,71.42857,14
-2,-1,32,24,16,41,36,15,46.66667,6.5
15,-1,53,23,46,24,29,25,19.04762,3.5
7,-1,4,30,-4,-13,17,42,-14.28571,6.5
3,1,-2,-12,10,-1,3,-8,2.38095,6.5
25,1,-20,-22,-22,-42,-24,-19,-35.71429,-1
4,1,9,21,8,14,19,-14,21.42857,3.5
17,1,43,41,31,52,52,38,54.7619,16.5
24,1,18,14,-9,13,9,17,7.14286,7
-2,-1,40,44,17,46,34,24,40.47619,2.5
42,1,49,42,66,56,40,32,40.47619,22
1,1,75,82,64,82,71,72,83.33333,28
9,1,21,34,34,25,43,36,33.33333,17.5
14,-1,-4,4,-6,11,4,-11,10,-4
5,1,22,30,14,27,28,26,13.33333,5.5
7,-1,15,21,32,28,23,27,16.66667,7
26,-1,-7,-9,6,-23,-12,14,-16.66667,-1.5
3,1,-25,-8,-34,-39,-12,-16,-35.71429,4
44,1,39,44,49,56,45,50,60,20.5
14,1,16,3,4,16,7,-3,14.28571,4.5
4,1,18,15,20,32,10,2,28.57143,8
-3,-1,35,44,35,48,46,68,40.47619,6
19,1,-18,-9,-54,-38,-20,-27,-33.33333,2.5
9,-1,34,27,24,24,20,33,9.52381,8.5
3,-1,-15,5,-12,-28,-8,-15,-14.28571,1
21,-1,14,13,22,8,14,45,0,9
10,-1,1,-7,-3,8,-2,-24,26.19048,-12
5,-1,27,23,5,19,20,23,0,10
26,1,12,13,10,10,8,11,-8.57143,10.5
36,1,9,10,-4,5,14,9,0,7.5
14,-1,14,9,11,13,11,23,16.66667,7.5
-4,-1,4,6,-1,-1,3,2,-2.38095,-3
5,1,5,2,10,-16,7,6,11.90476,8
-3,-1,2,-8,3,-20,1,1,-16.66667,4
38,1,95,101,81,85,100,101,71.42857,42
44,-1,71,75,75,81,70,76,71.42857,29
58,1,72,79,73,84,78,71,57.14286,35
14,1,37,40,49,39,39,39,32.14286,13.5
39,-1,62,76,73,59,75,80,58.92857,32
18,1,31,36,39,39,42,25,30.35714,11
10,-1,42,40,37,50,35,19,40.47619,7.5
58,1,109,110,106,112,112,106,73.21429,41
25,-1,2,3,-3,-1,3,4,2.38095,-2
33,1,63,64,78,49,71,60,30.35714,23.5
-14,-1,13,17,2,10,19,30,-2.38095,1
6,1,-5,-5,-2,-6,-4,-6,1.78571,-3.5
14,-1,-10,-8,23,6,-5,-8,14.28571,-4.5
-2,-1,32,25,29,38,25,25,19.04762,6
28,1,21,30,36,9,15,14,0,15
14,-1,25,26,11,6,23,35,0,8
-31,-1,66,72,61,74,73,69,57.14286,18.5
39,-1,-2,-6,-22,-24,-11,-9,-28.57143,6.5
12,1,-9,-6,-23,-24,-9,14,-30.35714,5
22,1,44,50,40,40,46,30,50,14.5
3,-1,13,12,19,14,21,3,14.28571,2.5
45,-1,72,72,69,95,71,53,65.27778,11.5
3,1,14,15,-5,-3,10,18,-5.35714,6.5
2,-1,-7,-10,2,-20,-11,-13,-28.57143,-6
-7,-1,20,21,3,11,13,12,-8.92857,-4
21,-1,46,45,44,56,48,35,35.71429,13
24,-1,62,62,54,68,60,63,57.14286,17
24,1,43,46,32,46,41,44,42.85714,12.5
-6,-1,23,27,-7,31,20,28,12.69841,0
28,-1,26,33,12,46,28,14,33.92857,1
-3,1,-5,-3,11,-12,2,-11,-3.57143,4
-6,-1,8,4,27,4,3,6,5.35714,1
18,1,9,7,21,-13,7,5,-33.33333,2
35,1,-32,-30,-26,-45,-25,-11,-40.47619,-3
4,-1,12,1,-16,4,7,11,5.35714,-3
7,-1,28,29,6,-14,37,59,0,3
14,-1,10,9,31,21,19,18,37.5,3
39,1,24,28,15,40,28,29,62.5,11.5
48,1,43,42,44,47,36,24,46.42857,23
40,1,6,17,1,15,19,42,25,17
5,-1,29,30,9,31,26,30,17.85714,2.5
17,1,44,50,31,47,46,39,28.57143,26
3,1,-9,-4,15,-5,-3,-10,2.38095,7.5
23,1,44,43,25,37,41,42,21.42857,23.5
10,1,28,25,39,29,30,18,28.57143,13
73,1,29,32,51,20,41,35,0,18.5
2,-1,-2,-8,-10,-3,-14,-4,-8.92857,-8.5
4,1,11,11,12,49,10,10,14.28571,11.5
-21,-1,-1,-5,-2,8,-6,4,19.04762,2
-44,-1,16,21,18,2,17,27,1.78571,17
-4,-1,-3,6,-1,10,-2,-1,14.28571,-14
11,-1,31,38,29,32,28,29,25,20
10,1,27,21,35,41,31,19,50,13.5
37,-1,17,16,14,8,19,23,9.72222,11.5
13,-1,29,24,20,27,29,38,15.27778,4.5
59,1,67,74,70,72,71,75,63.88889,34.5
1,-1,3,3,10,14,6,9,13.88889,-2.5
21,1,85,77,65,78,77,63,35.71429,24
21,1,18,25,32,19,22,28,11.11111,17
5,1,34,37,23,45,40,14,44.64286,10
17,1,33,26,18,25,25,21,26.38889,7
14,-1,54,62,42,61,53,55,26.98413,7
12,-1,31,37,36,46,42,40,38.88889,2.5
16,1,21,33,39,2,36,54,-15.27778,17
21,1,55,56,49,71,57,32,37.5,15.5
11,1,49,57,31,60,54,49,40.27778,14.5
25,-1,80,75,72,79,67,58,49.20635,16.5
-7,1,9,11,15,-7,16,36,-3.57143,7
-6,1,27,32,29,24,32,36,12.5,18.5
35,-1,60,68,57,54,65,68,50,23.5
-25,-1,46,43,46,64,44,37,50,3.5
19,-1,58,50,59,59,58,54,37.5,6
7,-1,81,78,87,91,84,89,75,23.5
26,1,-12,-8,-17,-21,-1,-3,-8.92857,6
24,1,96,91,86,98,92,75,88.88889,30.5
41,-1,45,57,38,43,55,52,44.44444,13
7,1,44,28,61,43,34,12,6.94444,6
7,1,32,40,5,20,36,40,8.92857,11
-1,1,35,41,30,35,39,49,5.55556,13
6,-1,11,13,12,2,16,10,9.72222,3
-7,1,8,1,-18,6,-4,14,19.44444,4
-1,-1,56,49,40,55,55,63,41.66667,14
43,-1,20,20,-6,19,14,21,0,1.5
14,1,66,70,23,71,63,52,52.77778,17.5
17,-1,51,44,39,64,46,39,50,5.5
6,1,25,25,48,28,27,28,35.71429,11.5
-9,1,24,23,16,47,27,16,42.85714,7
42,-1,40,39,56,21,39,61,12.5,21.5
7,1,10,17,-3,-4,8,25,-18.05556,8.5
23,-1,64,63,64,71,62,55,37.5,14
2,-1,19,26,18,-3,34,40,0,7.5
-21,-1,9,-6,-2,14,-1,-20,0,-6
10,1,10,12,14,17,13,1,16.66667,4.5
27,1,52,53,37,76,62,38,54.16667,18.5
32,-1,30,32,29,37,27,21,37.5,10
17,1,10,17,6,-1,13,23,12.5,15
13,-1,-4,5,4,-29,8,8,-5.55556,-5.5
26,-1,1,1,-2,5,-2,-3,-12.5,-1
25,1,12,16,7,19,14,15,0,10.5
7,-1,29,28,23,9,25,30,3.57143,14
-19,-1,13,9,3,8,14,11,0,-4
11,1,17,13,10,4,14,22,8.33333,19.5
14,-1,9,10,8,7,8,-1,20,0
5,1,14,14,4,-3,13,13,0,13
-7,1,11,7,20,7,9,7,2.77778,15.5
59,1,15,15,11,10,14,7,20,21
24,1,24,13,14,17,15,13,22.22222,17
3,-1,76,76,68,85,76,65,65.27778,18.5
17,-1,12,12,23,23,14,6,23.33333,7.5
12,-1,13,20,19,31,20,3,22.22222,1.5
4,-1,28,22,21,23,23,7,23.33333,3.5
7,1,83,91,78,86,89,83,75,23.5
-12,-1,12,15,7,11,15,34,12.22222,2
3,-1,27,32,25,34,32,35,27.77778,4.5
47,-1,82,76,71,76,67,51,57.77778,19.5
20,-1,3,1,5,-5,-4,-12,-12.5,-1
14,-1,39,31,24,47,41,45,37.77778,17.5
-27,-1,23,28,33,28,24,18,16.66667,3.5
5,1,15,17,8,20,11,23,14.44444,5.5
33,1,31,36,9,-4,25,48,-22.22222,20.5
3,1,9,8,42,11,9,13,22.22222,6.5
5,-1,29,20,34,28,22,4,23.33333,-1.5
3,1,46,47,55,64,52,58,41.66667,8
24,-1,-29,-23,-41,-44,-32,-9,-33.33333,-2.5
35,1,71,87,54,77,80,68,50,27.5
31,-1,67,74,66,65,80,90,44.44444,30
24,1,71,76,68,96,88,59,77.77778,24.5
42,-1,26,31,36,29,18,25,33.33333,9.5
1,1,-9,-12,-1,-28,-23,-4,-3.33333,9
5,-1,14,15,12,11,10,27,11.11111,8
18,1,47,45,24,44,39,19,22.22222,12
1,-1,7,6,-10,24,14,10,22.22222,-5.5
50,1,39,42,49,43,44,30,26.66667,17
18,1,66,66,56,60,61,71,37.5,27.5
21,1,64,61,76,77,61,63,65.27778,34
-10,-1,2,3,-4,-6,5,21,0,-3.5
14,1,-5,-5,-6,7,-3,-3,0,3
7,-1,6,1,8,5,-2,3,-5.55556,-3
53,1,23,35,30,34,25,37,29.87013,18
16,-1,2,12,-8,-7,3,21,0,7
24,1,46,41,38,55,35,31,47.77778,29
10,1,55,46,43,71,52,36,47.77778,24
4,1,25,21,10,9,23,20,11.11111,11.5
22,-1,27,40,47,42,40,43,55.55556,15.5
24,-1,-9,-4,-17,-17,-4,10,-25.55556,-2.5
32,1,21,22,32,28,21,28,22.22222,16
-3,1,30,29,22,12,32,46,11.11111,17.5
3,1,20,29,26,24,24,26,11.11111,17.5
23,-1,20,21,21,28,22,27,33.33333,3
10,-1,13,14,1,17,16,10,13.88889,8.5
27,-1,9,14,8,10,15,7,-7.77778,5
22,1,-5,-2,13,-3,3,7,-2.22222,7.5
3,-1,20,13,6,18,15,17,6.66667,7.5
9,-1,-8,-5,-4,-11,-4,-4,-11.11111,-5.5
58,1,10,16,9,9,17,20,20,26
-26,-1,12,12,14,14,9,15,20,9
14,-1,20,27,23,18,22,34,20,14.5
38,1,87,87,80,96,86,84,66.66667,25
-3,1,59,60,77,85,70,61,60.90909,27
6,1,60,60,59,71,62,71,50,19
4,1,41,45,40,50,36,21,33.33333,7.5
3,1,5,3,-4,-5,6,14,-3.33333,9.5
-6,1,30,25,19,33,28,16,20,8.5
11,1,11,18,12,15,12,8,2.72727,3.5
19,1,83,80,67,77,72,57,51.81818,28
14,-1,11,8,2,12,13,18,-3.33333,-2.5
21,1,44,44,27,26,39,51,5.55556,20.5
-15,-1,73,66,61,61,74,54,46.46465,8
3,1,-12,-7,5,-12,-10,-26,0,-5
20,1,60,65,78,66,63,82,50,24
22,1,25,24,15,31,21,29,20,11
-8,-1,27,34,53,54,41,29,44.44444,3
35,1,1,6,-21,-11,8,-15,-18.88889,-3
16,1,48,53,57,56,48,54,33.63636,26.5
-5,1,-7,-4,4,-2,-3,-40,11.11111,2.5
-6,-1,23,14,21,45,12,-1,33.33333,-3
6,-1,17,19,26,17,26,26,14.44444,4.5
12,-1,53,59,52,63,57,43,50,18
-11,-1,34,28,28,35,32,20,15.45455,3
3,1,11,19,43,-7,15,25,-10,10.5
-7,1,1,8,3,4,11,-10,-2.5,2.5
-4,-1,28,28,16,38,27,24,13.63636,4.5
13,-1,-14,-17,-2,-8,-8,-21,-4.44444,-7.5
21,1,14,9,-10,20,25,13,25.55556,7.5
31,1,32,43,25,34,41,62,20,27.5
53,1,23,23,27,9,25,31,4.54545,10.5
-17,-1,37,34,38,51,38,25,39.39394,5.5
2,-1,1,-1,-8,7,3,-5,5.55556,-3.5
13,1,17,12,16,19,15,7,0,4.5
-4,1,14,21,18,12,15,14,10,10
49,1,22,16,39,17,21,21,10,18.5
3,1,24,28,25,17,30,27,10,16.5
10,-1,20,18,9,4,8,27,-20,12
17,-1,13,11,3,15,12,11,0,4.5
2,-1,26,27,15,25,25,18,20,14
-2,1,4,6,3,-2,4,8,0,17.5
2,0,-4,-4,-6,-1,-3,-3,-9.09091,-7.5
3,1,38,38,26,51,39,18,40,10.5
27,-1,88,89,90,88,88,71,52.72727,19.5
13,1,12,11,4,-2,8,39,0,7
49,1,75,70,49,78,70,54,43.33333,22.5
28,1,95,91,92,94,97,97,70,32.5
11,1,10,19,7,12,15,19,-3.63636,10.5
10,1,38,45,36,46,48,32,20,10.5
3,-1,53,57,60,64,61,38,70,5
13,1,19,8,14,3,4,13,-16.66667,6.5
9,1,60,65,53,49,58,65,14.54545,24
-5,-1,30,34,3,22,46,33,10.90909,3
-1,-1,60,61,20,60,56,54,24.54545,16.5
11,1,45,49,44,56,50,36,40,16
6,-1,-6,-12,-24,-27,-9,3,-20,-2.5
